iter	Passed	Remaining
0	1	167
1	3	154
2	4	156
3	6	145
4	7	142
5	8	139
6	10	137
7	11	136
8	13	136
9	14	133
10	16	130
11	17	127
12	18	125
13	20	123
14	21	121
15	22	119
16	24	118
17	25	116
18	27	115
19	28	112
20	29	110
21	30	109
22	32	109
23	34	109
24	35	107
25	37	107
26	39	106
27	40	105
28	42	103
29	43	101
30	44	99
31	46	98
32	47	96
33	48	94
34	50	93
35	51	91
36	52	90
37	54	88
38	55	86
39	56	85
40	58	83
41	58	81
42	60	79
43	61	78
44	62	76
45	63	75
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	87	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	31
77	105	29
78	106	28
79	107	26
80	109	25
81	110	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
